,Word,Average Sentiment Score
1350,grace,0.7585554252199415
648,beauty,0.7398184210526315
1009,birk,0.7195958217270195
433,delicious,0.7134689542483661
1317,lovely,0.7028078014184397
1060,beautiful,0.6986272486772487
288,tulip,0.6894866319444444
720,virtue,0.6860315602836878
989,balmy,0.6745572093023255
1296,daisy,0.6619035294117648
615,paradise,0.661799433427762
1373,eglantine,0.6559268498942917
1113,sweetness,0.6488600760456273
1214,flowery,0.6455755485893417
304,jewelry,0.64504
54,bright,0.6405553738317756
737,precious,0.6379558052434458
968,spicy,0.6323544596012591
1165,primrose,0.6314828870019595
634,bower,0.6290212237093691
1355,zephyr,0.6261321357285429
1083,blush,0.6242796296296296
1094,woodbine,0.616409481216458
572,laburnum,0.6150323671497584
576,sweet,0.613173513598988
1362,rare,0.6094051851851852
37,fair,0.6092764826175869
327,briar,0.6066588028169013
1384,treasure,0.6054906862745097
503,clematis,0.6050525373134328
278,honeysuckle,0.6048882724402346
1232,tender,0.6028727906976744
514,savar,0.5948396226415094
549,cluster,0.5917281761006289
525,brilliant,0.5912225433526013
992,music,0.5886817109144543
1216,dewy,0.5885813829787234
9,magnolia,0.5870073672806068
640,clump,0.5827222641509434
1428,exotic,0.5806891352549888
731,profusion,0.5803816901408451
811,azalea,0.5797394136807819
170,grove,0.5745334276018099
887,mown,0.5743739202657807
5,natural,0.5734312195121952
490,clover,0.5716626223091976
1279,creeper,0.5715538461538462
1054,tussie,0.5704122807017543
1213,mussie,0.5704122807017543
134,golden,0.5703320036264732
239,garland,0.5685678509532063
814,pansy,0.5660649350649349
407,great,0.5644020408163266
806,passion,0.5626486873508353
1366,scarlet,0.5618338672768878
591,valley,0.5606759637188209
1447,blossom,0.5603058709790825
1254,shower,0.559286976744186
1116,chess,0.5576641943734015
735,hawthorn,0.5564842081650965
534,delicate,0.5562680933852139
3,jessamine,0.5549909262759924
1436,orangerie,0.5540078521939955
106,orchard,0.5536595930232558
924,pomegranate,0.5533926130099228
982,gorse,0.5527886363636364
1027,innumerable,0.5496326732673268
834,thousand,0.5487341688654355
697,heaven,0.5484272289156626
504,rhododendron,0.5423191666666666
589,cowslip,0.5406737430167597
1210,lilac,0.5402013416387159
46,meadow,0.5387045510455104
701,mow,0.5385520179372197
604,araby,0.5371703883495145
958,bunche,0.5361899253731344
1451,nature,0.5360188888888888
676,mead,0.5356670967741934
1375,daffodil,0.5333832214765101
159,arabian,0.5324958333333333
1030,cool,0.5322422222222222
1022,vernal,0.5298384740259741
113,crimson,0.5296691525423729
215,summer,0.5278971172962226
1124,bloom,0.5278454344216935
1358,reseda,0.5272061256961019
1154,heliotrope,0.5266261794634597
1295,myrtle,0.5265860384805131
32,thorn,0.5257538979788258
273,forest,0.5251789671361502
653,good,0.5244282359679266
192,tropical,0.5230530085959886
440,daphne,0.5229969387755102
990,hedge,0.5207
1120,pink,0.5205878807106599
596,rich,0.5205589482612384
583,heather,0.5195915417558886
512,free,0.5189818988464951
334,floaver,0.5176307829181495
810,early,0.516241404805915
404,dainty,0.5160660231660231
1427,heart,0.5148051873198848
39,cactus,0.514285
927,hothouse,0.5116483870967742
317,mango,0.511643515850144
389,oriental,0.510851724137931
180,wreath,0.5105988452655889
284,jasmine,0.5066253412670634
1418,june,0.5059487632508833
218,anemone,0.505595588235294
897,lily,0.5034675114586142
529,oleander,0.5027633975481611
641,jonquil,0.5018106849315068
15,mountain,0.5014515583259128
1343,mignonette,0.5001875409836065
609,vase,0.49993436426116844
277,wave,0.499890243902439
1018,bellflower,0.49882225913621264
1460,flowering,0.4980942307692308
0,arabia,0.4979518450184502
140,mimosa,0.49748519313304723
998,brilliantine,0.4970744262295082
1247,damask,0.4950400709219859
914,bud,0.4946422818791947
370,bough,0.49451379310344834
445,beech,0.4937661870503597
1016,banana,0.4935774117647059
458,sweetbriar,0.49215411764705885
1285,gold,0.4920178653229501
101,lip,0.490831024930748
262,birch,0.4904377067254686
780,foam,0.49036891891891893
588,true,0.4900007017543859
481,shrub,0.48955928233777396
109,narcissus,0.4880397217928903
552,plum,0.4876775974025974
700,gale,0.48718760757314983
1449,lotus,0.486195
1432,garden,0.48445495529061094
738,tufts,0.4844235649546828
900,wild,0.4828144760039177
769,cornflower,0.4825350168350169
1394,tuberose,0.4824399769585253
1391,purple,0.482252738515901
728,flora,0.4800365758754864
1033,huge,0.47951185897435905
20,elm,0.4783905380333951
1205,tuft,0.4781874809160306
882,sprig,0.47767651245551607
510,field,0.4776336419753086
1441,dew,0.4773193639977286
207,carnation,0.477280388471178
468,southernwood,0.47666313559322027
184,heath,0.47644872632266494
